TransactionID,SaleDate,CustomerID,ProductID,StoreID,CampaignID,SaleAmount,DiscountPercent,PaymentType
1,2025-05-04,1034,2059,402,0,2048.2,39.08,CASH
2,2025-05-04,1066,2048,403,1,321.87,29.3,Credit Card
3,2025-05-04,1116,2041,403,3,3216.84,15.76,Check
4,2025-05-04,1071,2096,404,2,1613.23,29.26,Check
5,2025-05-04,1020,2060,401,0,408.38,48.18,Cash
6,2025-05-04,1089,2028,401,0,1275.88,43.98,Check
7,2025-05-04,1193,2003,402,1,346.66,24.04,CASH
8,2025-05-04,1005,2079,402,1,855.49,42.27,CASH
9,2025-05-04,1032,2060,401,1,735.08,33.52,Credit Card
10,2025-05-04,1119,2089,403,2,661.63,44.08,Debit Card
11,2025-05-04,1042,2077,401,,505.65,35.52,Debit Card
12,2025-05-04,1079,2013,401,2,0.0,33.03,PayPal
13,2025-05-04,1147,2086,404,3,4470.5,45.77,Credit Card
14,2025-05-04,1183,2025,401,1,503.32,7.09,Gift Card
15,2025-05-04,1026,2089,403,0,413.52,36.16,Credit Card
16,2025-05-04,1144,2005,403,3,1715.12,N/A,Credit Card
17,2025-05-04,1169,2047,401,2,535.97,35.95,
18,2025-05-04,1003,2053,404,0,3660.9,11.08,credit card
19,2025-05-04,1110,2046,404,1,30.09,7.84,CASH
20,2025-05-04,1111,2022,403,3,671.18,34.87,Credit Card
21,2025-05-04,1119,2055,403,2,?,10.91,Cash
22,2025-05-04,1062,2011,403,3,1229.22,7.04,Debit Card
23,2025-05-04,1062,2096,404,3,672.18,31.96,Credit Card
24,2025-05-04,1086,2003,404,2,924.43,27.56,Cash
25,2025-05-04,1046,2062,402,2,1981.95,21.86,Gift Card
26,2025-05-04,1066,2043,403,2,698.76,46.71,PayPal
27,2025-05-04,1142,2001,402,0,1237.05,46.96,Credit Card
28,2025-05-04,1061,2092,404,3,482.21,23.34,PayPal
29,2025-05-04,1142,2097,402,3,4210.5,25.19,Gift Card
30,2025-05-04,1165,2091,404,3,4528.95,35.2,
31,2023-13-01,1004,2011,403,1,737.53,30.57,Debit Card
32,2025-05-04,1103,2088,402,2,0.0,7.38,Debit Card
33,2025-05-04,1169,2074,403,3,0.0,18.19,Credit Card
34,2025-05-04,1141,2067,403,3,872.85,3.18,CASH
35,2025-05-04,1190,2070,403,2,54.69,45.14,CASH
36,2025-05-04,1179,2058,403,2,1066.8,27.82,Credit Card
37,2025-05-04,1064,2029,401,1,12.16,1.6,Credit Card
38,2025-05-04,1080,2015,402,1,3037.36,13.95,Gift Card
39,2025-05-04,1055,2094,404,2,1578.72,19.73,Check
40,2025-05-04,1185,2075,403,0,0.0,16.81,Check
41,2025-05-04,9999,2037,402,2,288.11,14.17,credit card
42,2025-05-04,1045,2038,401,1,1667.72,-10,
43,2025-05-04,1070,2005,401,2,686.05,31.12,Check
44,2025-05-04,1178,2016,404,0,0.0,35.9,Credit Card
45,2025-05-04,1003,2073,403,3,1498.29,10.55,Cash
46,2025-05-04,1122,2056,403,1,944.5,22.84,Gift Card
47,2025-05-04,1013,2032,404,0,2836.8,,Cash
48,2025-05-04,1016,2051,404,0,117.32,24.31,Debit Card
49,2025-05-04,1147,2080,401,1,0.0,10.02,
50,2025-05-04,1038,2072,403,0,840.6,26.9,Check
51,2025-05-04,1063,2015,404,1,1214.95,34.5,CASH
52,2025-05-04,1198,2066,404,3,516.06,37.24,CASH
53,2025-05-04,1113,2038,404,2,2223.62,33.4,Cash
54,2025-05-04,1145,2079,401,0,1901.08,41.66,credit card
55,2025-05-04,1195,2026,402,2,507.74,9.74,credit card
56,2025-05-04,1169,2010,402,1,140.11,42.72,CASH
57,2025-05-04,1044,2070,401,1,0.0,17.89,Cash
58,2025-05-04,1000,2052,404,3,2193.78,49.88,
59,2025-05-04,1074,2004,402,2,741.8,15.13,credit card
60,2025-05-04,1180,2036,404,0,217.98,16.31,credit card
61,2025-05-04,1175,2029,403,1,36.48,17.88,
62,2025-05-04,1108,2014,402,1,221.67,39.37,Check
63,2025-05-04,1068,2018,401,0,2169.04,13.28,credit card
64,2025-05-04,1042,2039,403,3,2929.32,-10,Credit Card
65,2025-05-04,1031,2059,403,3,0.0,29.61,
66,2025-05-04,1069,2064,404,3,1470.2,39.67,
67,2025-05-04,1020,2076,401,3,4836.42,21.19,Check
68,2025-05-04,1188,2041,403,0,1608.42,3.22,Debit Card
69,2025-05-04,1023,2029,401,2,0.0,25.03,Credit Card
70,2025-05-04,1147,2005,402,3,0.0,48.94,Cash
71,2025-05-04,1132,2083,404,2,614.53,27.18,Debit Card
72,2025-05-04,1046,2074,404,3,659.5,17.56,
73,2025-05-04,1023,2060,403,3,1225.14,37.76,PayPal
74,2025-05-04,1085,2041,401,1,1447.58,35.95,credit card
75,2025-05-04,1084,2052,404,2,2925.04,46.13,
76,2025-05-04,1169,2051,401,3,117.32,26.78,credit card
77,2025-05-04,1022,2040,403,2,55.26,48.79,
78,2025-05-04,1029,2098,404,0,3631.44,33.82,CASH
79,2025-05-04,1168,2069,404,3,232.39,24.52,CASH
80,2025-05-04,1013,2024,403,3,372.81,31.38,credit card
81,2025-05-04,1160,2056,401,1,472.25,19.49,Debit Card
82,2025-05-04,1068,2070,402,2,109.38,30.28,Gift Card
83,2025-05-04,1112,2089,404,0,2067.6,3.18,Debit Card
84,2025-05-04,1007,2080,402,1,1498.07,40.78,
85,2025-05-04,1079,2070,401,3,34.18,33.57,CASH
86,2025-05-04,1023,2028,401,3,2551.76,36.28,Credit Card
87,2025-05-04,1030,2082,402,3,799.8,44.19,Cash
88,2025-05-04,1183,2037,403,3,2160.84,42.94,PayPal
89,2025-05-04,1123,2060,402,3,2450.28,37.09,Credit Card
90,2025-05-04,1141,2018,404,1,2440.17,0.37,Cash
91,2025-05-04,1153,2065,402,0,470.34,36.55,PayPal
92,2025-05-04,1070,2098,404,2,0.0,9.11,Credit Card
93,2025-05-04,1129,2034,401,2,108.94,33.5,
94,2025-05-04,1185,2038,404,1,1667.72,22.99,Check
95,2025-05-04,1114,2068,404,2,656.19,39.69,Check
96,2025-05-04,1085,2070,404,3,0.0,27.67,PayPal
97,2025-05-04,1082,2024,402,3,372.81,13.09,credit card
98,2025-05-04,1059,2099,404,0,1292.64,26.33,Check
99,2025-05-04,1081,2095,404,3,490.79,38.19,
100,2025-05-04,1098,2084,402,3,0.0,39.04,credit card
101,2025-05-04,1009,2016,403,0,969.06,20.53,credit card
102,2025-05-04,1112,2012,404,0,1869.57,20.2,
103,2025-05-04,1184,2018,404,1,488.03,16.33,PayPal
104,2025-05-04,1019,2060,403,2,0.0,15.94,PayPal
105,2025-05-04,1159,2088,404,0,0.0,5.93,PayPal
106,2025-05-04,1084,2086,404,2,2861.12,23.76,Check
107,2025-05-04,1160,2091,404,0,905.79,6.76,PayPal
108,2025-05-04,1158,2008,402,2,159.82,1.68,Credit Card
109,2025-05-04,1058,2095,401,3,2453.95,46.02,Gift Card
110,2025-05-04,1025,2097,401,3,842.1,N/A,Gift Card
111,2025-05-04,1042,2088,403,0,709.35,35.93,CASH
112,2025-05-04,1011,2041,401,2,0.0,3.76,PayPal
113,2025-05-04,1091,2047,404,1,0.0,42.33,PayPal
114,2025-05-04,1062,2067,404,1,0.0,24.52,
115,2025-05-04,1043,2022,401,3,2684.72,1.41,CASH
116,2025-05-04,1158,2087,402,3,477.96,21.51,PayPal
117,2025-05-04,1149,2018,402,3,1626.78,31.45,Gift Card
118,2025-05-04,1163,2032,404,2,756.48,N/A,Debit Card
119,2025-05-04,1170,2001,404,2,659.76,39.93,credit card
120,2025-05-04,1173,2069,402,0,464.78,41.65,Credit Card
121,2025-05-04,1113,2044,403,3,0.0,29.12,PayPal
122,2025-05-04,1176,2032,404,2,756.48,6.18,Credit Card
123,2025-05-04,1050,2049,404,0,2819.52,44.34,PayPal
124,2025-05-04,1060,2048,403,2,1144.42,32.54,
125,2025-05-04,1179,2037,401,3,1440.56,38.72,PayPal
126,2025-05-04,1070,2001,401,3,0.0,39.52,credit card
127,2025-05-04,1073,2099,402,2,0.0,9.14,CASH
128,2025-05-04,1056,2081,402,2,0.0,33.75,PayPal
129,2025-05-04,1173,2096,402,0,672.18,38.28,credit card
130,2025-05-04,1160,2082,401,2,426.56,48.87,PayPal
131,2025-05-04,1112,2004,403,1,1669.05,36.49,Credit Card
132,2025-05-04,1023,2037,403,3,2160.84,-10,credit card
133,2025-05-04,1044,2025,402,2,223.7,1.17,credit card
134,2025-05-04,1135,2064,403,1,793.91,37.29,Credit Card
135,2025-05-04,1065,2061,403,2,639.74,16.97,Cash
136,2025-05-04,1029,2059,401,1,921.69,19.14,
137,2025-05-04,1193,2028,404,2,1531.06,19.31,Check
138,2025-05-04,1023,2050,401,2,298.85,21.66,
139,2025-05-04,1137,2015,404,2,539.98,30.61,
140,2025-05-04,1172,2095,403,3,2453.95,13.78,
141,2025-05-04,1163,2047,401,1,301.48,29.32,Gift Card
142,2025-05-04,1120,2003,403,1,1039.99,15.19,PayPal
143,2025-05-04,1165,2008,404,2,53.27,34.91,
144,2025-05-04,1166,2052,401,1,658.13,18.23,Debit Card
145,2025-05-04,1011,2004,403,3,3709.0,30.58,Debit Card
146,2025-05-04,1029,2012,402,1,0.0,100,credit card
147,2025-05-04,1099,2058,403,3,666.75,8.59,Cash
148,2025-05-04,1150,2095,402,3,490.79,33.39,CASH
149,2025-05-04,1167,2012,404,3,0.0,21.41,Check
150,2025-05-04,1071,2004,403,1,834.52,40.46,Gift Card
151,2025-05-04,1113,2056,402,2,839.55,24.27,Credit Card
152,2025-05-04,1025,2087,403,2,0.0,47.72,credit card
153,2025-05-04,1015,2050,403,1,504.31,8.91,Credit Card
154,2025-05-04,1031,2058,401,1,2400.3,48.09,
155,2025-05-04,1164,2081,401,0,2984.88,1.12,Debit Card
156,2025-05-04,1085,2031,402,1,508.77,17.25,Check
157,2025-05-04,1017,2097,402,1,757.89,3.29,Credit Card
158,2025-05-04,1059,2042,402,0,0.0,46.77,CASH
159,2025-05-04,1070,2018,402,2,0.0,27.1,CASH
160,2025-05-04,1044,2014,401,1,886.68,10.63,Debit Card
161,2025-05-04,1003,2045,402,2,499.42,-10,Gift Card
162,2025-05-04,1004,2022,403,0,671.18,11.28,Credit Card
163,2025-05-04,1032,2094,404,0,493.35,9.32,Credit Card
164,2025-05-04,1190,2008,404,3,266.36,31.43,Cash
165,2025-05-04,1199,2046,401,3,167.15,27.88,CASH
166,2025-05-04,1128,2028,401,2,2041.41,47.92,
167,2025-05-04,1117,2082,401,0,799.8,45.62,Cash
168,2025-05-04,1122,2051,404,0,234.64,20.57,
169,2025-05-04,1125,2091,404,0,1811.58,29.03,CASH
170,2025-05-04,1020,2041,402,0,0.0,13.82,Debit Card
171,2025-05-04,1032,2035,403,3,4499.95,100,Debit Card
172,2025-05-04,1152,2067,403,3,872.85,13.35,credit card
173,2025-05-04,1129,2077,404,0,2809.15,39.48,Check
174,2025-05-04,1179,2014,402,3,738.9,33.53,
175,2025-05-04,1115,2029,404,2,0.0,N/A,credit card
176,2025-05-04,1116,2051,404,0,351.96,40.58,Debit Card
177,2025-05-04,1080,2054,403,2,3602.04,5.4,
178,2025-05-04,1095,2019,404,0,933.93,33.91,PayPal
179,2025-05-04,1023,2010,401,3,0.0,42.04,Gift Card
180,2025-05-04,1024,2095,403,1,3533.69,44.27,Check
181,2025-05-04,1142,2007,403,0,583.39,40.57,Debit Card
182,2025-05-04,1105,2045,404,0,624.28,47.93,credit card
183,2025-05-04,1073,2076,403,2,1934.57,14.15,Credit Card
184,2025-05-04,1026,2073,402,1,1797.95,25.98,Credit Card
185,2025-05-04,1168,2061,402,0,599.76,43.03,Credit Card
186,2025-05-04,1089,2071,403,0,0.0,2.14,Debit Card
187,2025-05-04,1195,2035,402,3,0.0,41.38,Debit Card
188,2025-05-04,1143,2098,401,2,2178.86,47.19,Check
189,2025-05-04,1007,2023,403,2,751.63,4.91,Debit Card
190,2025-05-04,1086,2044,401,1,373.64,1.97,CASH
191,2025-05-04,1036,2072,404,0,1260.9,14.03,
192,2025-05-04,1036,2094,401,0,2466.75,40.87,Check
193,2025-05-04,1191,2067,402,3,872.85,49.47,CASH
194,2025-05-04,1107,2058,403,1,1800.22,43.82,Check
195,2025-05-04,1094,2039,403,0,1952.88,23.15,Debit Card
196,2025-05-04,1013,2019,402,0,0.0,5.19,PayPal
197,2025-05-04,1172,2010,403,3,0.0,49.86,Credit Card
198,2025-05-04,1169,2054,404,3,900.51,13.58,PayPal
199,2025-05-04,1106,2034,402,0,136.17,0.13,CASH
200,2025-05-04,1088,2055,401,2,129.46,43.55,Cash
201,2025-05-04,1173,2086,404,2,715.28,100,CASH
202,2025-05-04,1011,2028,404,0,0.0,44.97,CASH
203,2025-05-04,1001,2026,403,1,190.4,25.92,Cash
204,2025-05-04,1196,2017,403,2,370.96,14.63,Gift Card
205,2025-05-04,1083,2015,401,3,0.0,25.05,Debit Card
206,2025-05-04,1191,2055,402,1,48.55,7.69,
207,2025-05-04,1097,2068,402,2,1312.38,42.07,Credit Card
208,2025-05-04,1018,2050,401,3,0.0,8.35,credit card
209,2025-05-04,1004,2058,401,2,1066.8,42.53,Cash
210,2025-05-04,1147,2054,404,3,2701.53,19.7,Check
211,2025-05-04,1074,2014,404,0,738.9,30.2,credit card
212,2025-05-04,1083,2021,404,2,668.33,1.43,Credit Card
213,2025-05-04,1022,2055,401,1,97.09,11.74,Credit Card
214,2025-05-04,1111,2075,404,0,1561.28,29.89,Cash
215,2025-05-04,1101,2039,403,1,2636.39,45.99,CASH
216,2025-05-04,1085,2099,402,0,646.32,3.97,credit card
217,2025-05-04,1130,2081,401,1,1343.2,13.93,Debit Card
218,2025-05-04,1198,2044,403,1,186.82,19.34,
219,2025-05-04,1060,2013,402,2,0.0,1.61,Cash
220,2025-05-04,1050,2022,402,0,671.18,16.74,PayPal
221,2025-05-04,1045,2098,404,3,907.86,42.36,credit card
222,2025-05-04,1193,2072,404,2,1681.2,32.76,
223,2025-05-04,1160,2040,402,3,138.16,31.51,Credit Card
224,2025-05-04,1017,2060,404,2,0.0,29.43,Gift Card
225,2025-05-04,1070,2075,401,2,624.51,34.26,Cash
226,2025-05-04,1129,2009,403,3,198.93,5.71,CASH
227,2025-05-04,1115,2004,401,2,2225.4,18.66,PayPal
228,2025-05-04,1073,2009,401,3,66.31,44.57,Gift Card
229,2025-05-04,1118,2074,401,3,659.5,6.13,CASH
230,2025-05-04,1146,2083,402,2,614.53,11.13,PayPal
231,2025-05-04,1154,2060,402,0,408.38,10.09,credit card
232,2025-05-04,1115,2013,403,0,2806.08,49.92,PayPal
233,2025-05-04,1129,2082,402,0,1066.4,21.4,Cash
234,2025-05-04,1063,2090,404,3,71.64,12.71,Debit Card
235,2025-05-04,1134,2066,402,2,1238.54,25.24,Check
236,2025-05-04,1095,2036,404,3,653.94,44.64,PayPal
237,2025-05-04,1198,2043,401,2,1397.52,21.56,credit card
238,2025-05-04,1016,2042,401,3,0.0,18.06,Gift Card
239,2025-05-04,1072,2032,402,2,1512.96,15.75,Gift Card
240,2025-05-04,1020,2074,402,2,527.6,4.25,CASH
241,2025-05-04,1079,2083,404,1,691.34,48.03,Credit Card
242,2025-05-04,1152,2090,401,2,57.31,10.87,Cash
243,2025-05-04,1143,2048,403,1,0.0,24.5,CASH
244,2025-05-04,1171,2089,401,3,1654.08,5.63,
245,2025-05-04,1130,2046,401,2,106.98,6.24,PayPal
246,2025-05-04,1079,2023,402,2,3006.53,8.51,Gift Card
247,2025-05-04,1196,2062,402,1,1114.85,23.1,
248,2025-05-04,1035,2019,401,2,0.0,22.35,Credit Card
249,2025-05-04,1025,2064,401,2,705.7,2.69,
250,2025-05-04,1196,2079,402,3,2851.62,3.65,
251,2025-05-04,1039,2020,402,1,338.25,-10,Debit Card
252,2025-05-04,1184,2056,401,3,1574.16,10.08,
253,2025-05-04,1093,2086,402,3,3576.4,12.05,credit card
254,2025-05-04,1156,2036,404,1,392.36,33.05,PayPal
255,2025-05-04,1136,2030,403,3,509.91,20.53,CASH
256,2025-05-04,1049,2047,404,3,1674.9,1.14,Check
257,2025-05-04,1196,2036,404,3,0.0,28.86,Credit Card
258,2025-05-04,1041,2025,402,2,671.09,8.92,Cash
259,2025-05-04,1013,2082,404,2,1066.4,15.14,Debit Card
260,2025-05-04,1141,2013,401,2,748.29,7.9,CASH
261,2025-05-04,1021,2097,402,2,673.68,18.56,Cash
262,2025-05-04,1115,2065,402,3,1881.36,41.94,credit card
263,2025-05-04,1023,2028,404,2,510.35,33.95,Credit Card
264,2025-05-04,1006,2053,401,3,610.15,45.24,PayPal
265,2025-05-04,1128,2047,402,3,1004.94,39.61,Check
266,2025-05-04,1020,2047,402,0,669.96,17.67,Check
267,2025-05-04,1081,2012,403,1,1682.61,4.57,Credit Card
268,2025-05-04,1035,2004,403,3,927.25,5.43,Debit Card
269,2025-05-04,1178,2017,404,3,1854.8,15.23,Credit Card
270,2025-05-04,1157,2000,401,0,1938.62,5.95,
271,2025-05-04,1065,2027,402,3,775.83,5.53,Credit Card
272,2025-05-04,1028,2099,403,1,3490.13,21.46,
273,2025-05-04,1077,2015,401,1,1822.42,14.73,Gift Card
274,2025-05-04,1107,2081,404,0,2238.66,18.38,Check
275,2025-05-04,1028,2063,401,1,994.43,42.23,Check
276,2025-05-04,1183,2018,403,3,2711.3,19.39,Cash
277,2025-05-04,1000,2078,403,1,0.0,34.86,CASH
278,2025-05-04,1146,2053,402,0,1220.3,47.98,
279,2025-05-04,1134,2046,401,0,33.43,21.9,
280,2025-05-04,1099,2060,401,3,1633.52,39.23,PayPal
281,2025-05-04,1095,2032,401,2,1512.96,1.5,Gift Card
282,2025-05-04,1017,2044,402,0,207.58,9.77,credit card
